"Month","Day","Year","station","city","state","weather_type","rating","status","userID"
1,18,2013,"KGEG","Spokane","WA",4,1,"living","S30803"
8,1,2012,"KGEG","Spokane","WA",6,1,"living","S30803"
6,1,2007,"KGEG","Spokane","WA",8,4,"living","S30803"
5,7,2014,"KGEG","Spokane","WA",8,3,"living","S30803"
12,5,2015,"KGEG","Spokane","WA",4,2,"living","S30803"
12,14,2007,"KGEG","Spokane","WA",4,5,"living","S30803"
8,1,2007,"KGEG","Spokane","WA",6,2,"living","S30803"
5,17,2009,"KGEG","Spokane","WA",8,2,"living","S30803"
4,25,2013,"KGEG","Spokane","WA",3,2,"living","S30803"
5,7,2007,"KGEG","Spokane","WA",9,4,"living","S30803"
8,8,2013,"KGEG","Spokane","WA",6,2,"living","S30803"
1,8,2014,"KGEG","Spokane","WA",2,4,"living","S30803"
10,23,2015,"KGEG","Spokane","WA",8,5,"living","S30803"
11,28,2013,"KGEG","Spokane","WA",4,3,"living","S30803"
11,24,2010,"PACD","Cold Bay","AK",1,1,"traveling","S30803"
1,2,2007,"PACD","Cold Bay","AK",6,5,"traveling","S30803"
8,16,2008,"KMDT","Middletown","PA",8,1,"traveling","S30803"
10,2,2015,"KABR","Aberdeen","SD",3,2,"living","I70879"
7,9,2009,"KABR","Aberdeen","SD",9,4,"living","I70879"
5,11,2015,"KABR","Aberdeen","SD",2,4,"living","I70879"
1,25,2006,"KABR","Aberdeen","SD",4,3,"living","I70879"
9,9,2015,"KABR","Aberdeen","SD",9,4,"living","I70879"
10,12,2007,"KABR","Aberdeen","SD",8,5,"living","I70879"
6,2,2010,"KABR","Aberdeen","SD",8,3,"living","I70879"
10,3,2015,"KABR","Aberdeen","SD",3,3,"living","I70879"
11,22,2010,"KABR","Aberdeen","SD",4,5,"living","I70879"
8,31,2010,"KABR","Aberdeen","SD",9,1,"living","I70879"
9,13,2006,"KABR","Aberdeen","SD",9,4,"living","I70879"
11,2,2012,"KABR","Aberdeen","SD",4,2,"living","I70879"
5,26,2010,"KABR","Aberdeen","SD",8,3,"living","I70879"
4,15,2008,"KABR","Aberdeen","SD",1,5,"living","I70879"
1,17,2010,"KABR","Aberdeen","SD",4,4,"living","I70879"
1,29,2013,"KMFV","Melfa","VA",5,1,"traveling","I70879"
10,10,2014,"KJCT","Junction","TX",9,5,"traveling","I70879"
2,24,2015,"KMFV","Melfa","VA",4,1,"traveling","I70879"
3,16,2006,"KBAB","Beale AFB","CA",5,5,"living","R09710"
5,26,2010,"KBAB","Beale AFB","CA",5,1,"living","R09710"
5,3,2012,"KBAB","Beale AFB","CA",2,5,"living","R09710"
1,7,2006,"KBAB","Beale AFB","CA",5,5,"living","R09710"
12,3,2013,"KBAB","Beale AFB","CA",3,1,"living","R09710"
5,13,2008,"KBAB","Beale AFB","CA",6,2,"living","R09710"
12,19,2013,"KBAB","Beale AFB","CA",3,5,"living","R09710"
1,17,2008,"KBAB","Beale AFB","CA",2,1,"living","R09710"
10,11,2008,"KBAB","Beale AFB","CA",6,5,"living","R09710"
6,21,2009,"KBAB","Beale AFB","CA",9,4,"living","R09710"
1,4,2007,"KBAB","Beale AFB","CA",2,2,"living","R09710"
9,29,2013,"KBAB","Beale AFB","CA",9,2,"living","R09710"
2,21,2011,"KBAB","Beale AFB","CA",4,2,"living","R09710"
6,6,2011,"KBAB","Beale AFB","CA",5,5,"living","R09710"
5,20,2010,"KBAB","Beale AFB","CA",8,2,"living","R09710"
8,18,2007,"KBAB","Beale AFB","CA",9,1,"living","R09710"
8,28,2010,"KBAB","Beale AFB","CA",1,3,"living","R09710"
1,15,2012,"KFSD","Sioux Falls","SD",3,5,"traveling","R09710"
7,9,2011,"KMVL","Morrisville","VT",7,1,"living","M84736"
6,11,2008,"KMVL","Morrisville","VT",8,2,"living","M84736"
4,1,2007,"KMVL","Morrisville","VT",3,4,"living","M84736"
10,15,2012,"KMVL","Morrisville","VT",5,3,"living","M84736"
11,29,2007,"KMVL","Morrisville","VT",3,4,"living","M84736"
2,13,2010,"KMVL","Morrisville","VT",4,2,"living","M84736"
6,15,2006,"KMVL","Morrisville","VT",8,5,"living","M84736"
6,8,2012,"KMVL","Morrisville","VT",8,4,"living","M84736"
2,11,2013,"KMVL","Morrisville","VT",4,1,"living","M84736"
11,10,2006,"KMVL","Morrisville","VT",5,3,"living","M84736"
7,22,2014,"KMVL","Morrisville","VT",10,3,"living","M84736"
10,12,2013,"KBIV","Holland","MI",9,5,"traveling","M84736"
6,29,2012,"KFFO","Wright-Patt AFB","OH",7,3,"living","G78817"
6,17,2012,"KFFO","Wright-Patt AFB","OH",7,5,"living","G78817"
8,19,2014,"KFFO","Wright-Patt AFB","OH",10,5,"living","G78817"
7,8,2012,"KFFO","Wright-Patt AFB","OH",10,3,"living","G78817"
1,31,2008,"KFFO","Wright-Patt AFB","OH",3,4,"living","G78817"
10,25,2015,"KFFO","Wright-Patt AFB","OH",8,2,"living","G78817"
11,28,2013,"KFFO","Wright-Patt AFB","OH",4,3,"living","G78817"
9,1,2011,"KFFO","Wright-Patt AFB","OH",10,4,"living","G78817"
11,5,2007,"KFFO","Wright-Patt AFB","OH",1,2,"living","G78817"
4,27,2009,"KFFO","Wright-Patt AFB","OH",9,1,"living","G78817"
5,23,2011,"KDWH","Houston Hooks","TX",10,1,"traveling","G78817"
9,28,2011,"KDWH","Houston Hooks","TX",10,5,"traveling","G78817"
4,11,2014,"KPRC","Prescott","AZ",6,4,"living","Q96265"
12,15,2006,"KPRC","Prescott","AZ",3,1,"living","Q96265"
7,18,2012,"KPRC","Prescott","AZ",6,2,"living","Q96265"
5,8,2006,"KPRC","Prescott","AZ",6,1,"living","Q96265"
3,2,2015,"KPRC","Prescott","AZ",2,5,"living","Q96265"
6,15,2009,"KPRC","Prescott","AZ",6,3,"living","Q96265"
6,29,2011,"KPRC","Prescott","AZ",6,3,"living","Q96265"
5,23,2015,"KPRC","Prescott","AZ",3,2,"living","Q96265"
4,23,2009,"KPRC","Prescott","AZ",6,2,"living","Q96265"
9,18,2006,"KPRC","Prescott","AZ",6,2,"living","Q96265"
3,8,2006,"KPRC","Prescott","AZ",3,1,"living","Q96265"
10,23,2010,"KPRC","Prescott","AZ",8,2,"living","Q96265"
8,31,2012,"KPRC","Prescott","AZ",8,3,"living","Q96265"
8,30,2011,"KPRC","Prescott","AZ",6,3,"living","Q96265"
2,9,2015,"KPRC","Prescott","AZ",3,3,"living","Q96265"
6,12,2007,"KEKN","Elkins","WV",10,1,"traveling","Q96265"
3,12,2010,"KGFK","Grand Forks","ND",2,1,"traveling","Q96265"
10,27,2014,"KBDR","Bridgeport","CT",8,1,"living","P43711"
2,20,2010,"KBDR","Bridgeport","CT",3,5,"living","P43711"
5,30,2008,"KBDR","Bridgeport","CT",8,3,"living","P43711"
11,27,2011,"KBDR","Bridgeport","CT",5,4,"living","P43711"
12,24,2009,"KBDR","Bridgeport","CT",2,1,"living","P43711"
4,25,2011,"KBDR","Bridgeport","CT",5,3,"living","P43711"
8,29,2011,"KBDR","Bridgeport","CT",8,2,"living","P43711"
8,6,2013,"KBDR","Bridgeport","CT",8,1,"living","P43711"
7,5,2013,"KBDR","Bridgeport","CT",10,4,"living","P43711"
6,11,2009,"KBDR","Bridgeport","CT",5,3,"living","P43711"
9,13,2014,"KBDR","Bridgeport","CT",5,2,"living","P43711"
10,11,2008,"KBDR","Bridgeport","CT",8,2,"living","P43711"
8,23,2008,"KBDR","Bridgeport","CT",10,1,"living","P43711"
5,2,2012,"KBDR","Bridgeport","CT",5,4,"living","P43711"
12,22,2006,"KBDR","Bridgeport","CT",4,3,"living","P43711"
12,30,2013,"KBDR","Bridgeport","CT",4,3,"living","P43711"
7,24,2015,"KBDR","Bridgeport","CT",8,2,"living","P43711"
5,19,2012,"KMCW","Mason City","IA",1,5,"traveling","P43711"
7,12,2008,"KMCW","Mason City","IA",9,1,"traveling","P43711"
6,17,2006,"KMCW","Mason City","IA",7,1,"traveling","P43711"
10,11,2015,"KCDD","Crane Lake","MN",8,3,"living","V30325"
6,22,2015,"KCDD","Crane Lake","MN",5,4,"living","V30325"
5,11,2010,"KCDD","Crane Lake","MN",3,1,"living","V30325"
12,9,2015,"KCDD","Crane Lake","MN",4,5,"living","V30325"
11,19,2014,"KCDD","Crane Lake","MN",4,1,"living","V30325"
1,24,2006,"KCDD","Crane Lake","MN",2,2,"living","V30325"
8,4,2009,"KCDD","Crane Lake","MN",8,4,"living","V30325"
11,13,2013,"KCDD","Crane Lake","MN",4,3,"living","V30325"
9,22,2008,"KCDD","Crane Lake","MN",5,1,"living","V30325"
6,1,2008,"KCDD","Crane Lake","MN",8,3,"living","V30325"
8,5,2009,"KCDD","Crane Lake","MN",8,1,"living","V30325"
11,13,2015,"KCDD","Crane Lake","MN",4,2,"living","V30325"
1,29,2015,"KCDD","Crane Lake","MN",4,2,"living","V30325"
9,29,2009,"KCDD","Crane Lake","MN",4,1,"living","V30325"
11,7,2011,"KCDD","Crane Lake","MN",4,3,"living","V30325"
3,16,2015,"KCDD","Crane Lake","MN",3,1,"living","V30325"
9,26,2008,"KCDD","Crane Lake","MN",5,2,"living","V30325"
11,13,2007,"KBPI","Big Piney","WY",1,1,"traveling","V30325"
2,20,2007,"KFVX","Farmville","VA",3,5,"traveling","V30325"
6,28,2010,"KLPR","Lorain","OH",10,4,"living","U66318"
3,31,2006,"KLPR","Lorain","OH",1,3,"living","U66318"
6,30,2008,"KLPR","Lorain","OH",5,5,"living","U66318"
1,1,2015,"KLPR","Lorain","OH",1,2,"living","U66318"
6,26,2008,"KLPR","Lorain","OH",7,5,"living","U66318"
1,5,2007,"KLPR","Lorain","OH",5,2,"living","U66318"
7,20,2006,"KLPR","Lorain","OH",10,1,"living","U66318"
1,13,2012,"KLPR","Lorain","OH",2,2,"living","U66318"
4,3,2009,"KLPR","Lorain","OH",2,2,"living","U66318"
3,26,2013,"KLPR","Lorain","OH",4,1,"living","U66318"
12,30,2008,"KLPR","Lorain","OH",3,2,"living","U66318"
4,10,2013,"KLPR","Lorain","OH",2,1,"living","U66318"
4,10,2010,"KFFO","Wright-Patt AFB","OH",8,5,"traveling","U66318"
7,17,2015,"KLNR","Lone Rock","WI",10,1,"traveling","U66318"
7,12,2007,"KDNL","Augusta","GA",10,5,"living","P37654"
9,16,2011,"KDNL","Augusta","GA",9,1,"living","P37654"
5,13,2009,"KDNL","Augusta","GA",9,4,"living","P37654"
3,2,2014,"KAUG","Augusta","ME",3,5,"living","P37654"
6,20,2013,"KDNL","Augusta","GA",9,5,"living","P37654"
8,3,2007,"KDNL","Augusta","GA",10,1,"living","P37654"
8,10,2007,"KDNL","Augusta","GA",9,4,"living","P37654"
3,23,2013,"KDNL","Augusta","GA",5,4,"living","P37654"
10,19,2006,"KAUG","Augusta","ME",8,4,"living","P37654"
12,31,2006,"KAUG","Augusta","ME",4,5,"living","P37654"
9,3,2009,"KDNL","Augusta","GA",9,2,"living","P37654"
9,24,2010,"KDNL","Augusta","GA",10,5,"living","P37654"
3,21,2007,"KDNL","Augusta","GA",8,2,"living","P37654"
6,4,2006,"KAUG","Augusta","ME",2,3,"living","P37654"
9,29,2015,"KDNL","Augusta","GA",10,2,"living","P37654"
4,1,2015,"KCAE","Columbia","SC",9,1,"traveling","P37654"
12,30,2007,"KCAE","Columbia","SC",5,1,"traveling","P37654"
11,26,2014,"KGRF","Fort Lewis","WA",5,1,"traveling","P37654"
7,14,2015,"KASJ","Ahoskie","NC",10,5,"living","W63626"
8,6,2011,"KASJ","Ahoskie","NC",10,2,"living","W63626"
12,12,2012,"KASJ","Ahoskie","NC",4,3,"living","W63626"
4,21,2008,"KASJ","Ahoskie","NC",5,5,"living","W63626"
11,6,2014,"KASJ","Ahoskie","NC",5,4,"living","W63626"
4,4,2013,"KASJ","Ahoskie","NC",4,2,"living","W63626"
2,25,2007,"KASJ","Ahoskie","NC",8,3,"living","W63626"
6,19,2014,"KASJ","Ahoskie","NC",10,4,"living","W63626"
1,7,2007,"KASJ","Ahoskie","NC",8,3,"living","W63626"
1,9,2011,"KASJ","Ahoskie","NC",3,5,"living","W63626"
1,28,2009,"KASJ","Ahoskie","NC",5,3,"living","W63626"
7,15,2014,"KASJ","Ahoskie","NC",7,3,"living","W63626"
4,19,2014,"KASJ","Ahoskie","NC",5,1,"living","W63626"
5,27,2011,"KASJ","Ahoskie","NC",10,2,"living","W63626"
12,23,2015,"KASJ","Ahoskie","NC",5,4,"living","W63626"
3,22,2008,"KASJ","Ahoskie","NC",9,1,"living","W63626"
4,17,2010,"KASJ","Ahoskie","NC",8,2,"living","W63626"
4,30,2013,"KASJ","Ahoskie","NC",5,5,"living","W63626"
2,5,2012,"KASJ","Ahoskie","NC",5,4,"living","W63626"
6,22,2015,"KFYV","Fayetteville","AR",7,5,"traveling","W63626"
6,11,2014,"KSHD","Staunton","VA",7,2,"living","I50576"
10,9,2015,"KSHD","Staunton","VA",10,5,"living","I50576"
7,27,2009,"KSHD","Staunton","VA",10,5,"living","I50576"
5,3,2006,"KSHD","Staunton","VA",8,3,"living","I50576"
8,23,2013,"KSHD","Staunton","VA",10,1,"living","I50576"
9,21,2014,"KSHD","Staunton","VA",8,3,"living","I50576"
10,30,2010,"KSHD","Staunton","VA",8,2,"living","I50576"
2,18,2010,"KSHD","Staunton","VA",3,4,"living","I50576"
2,14,2015,"KSHD","Staunton","VA",1,1,"living","I50576"
4,11,2014,"KSHD","Staunton","VA",9,1,"living","I50576"
3,15,2006,"KSHD","Staunton","VA",6,1,"living","I50576"
1,1,2010,"KSHD","Staunton","VA",4,1,"living","I50576"
12,28,2006,"KSHD","Staunton","VA",4,3,"living","I50576"
1,31,2006,"KSHD","Staunton","VA",3,1,"living","I50576"
2,27,2010,"KSHD","Staunton","VA",3,5,"living","I50576"
10,20,2011,"KSHD","Staunton","VA",2,2,"living","I50576"
2,12,2010,"KONP","Newport Airport","OR",2,1,"traveling","I50576"
2,11,2012,"KCSM","Clinton-Sherman","OK",2,1,"traveling","I50576"
6,26,2012,"K3DU","Drummond","MT",9,1,"living","Q61474"
4,24,2012,"K3DU","Drummond","MT",1,3,"living","Q61474"
2,9,2010,"KCSM","Clinton-Sherman","OK",1,5,"traveling","Q61474"
2,11,2007,"KSMO","Santa Monica","CA",5,5,"traveling","Q61474"
3,1,2012,"KROA","Roanoke","VA",1,1,"traveling","Q61474"
3,11,2013,"KAAT","Alturas","CA",4,1,"living","N31987"
9,24,2012,"KAAT","Alturas","CA",8,5,"living","N31987"
9,22,2013,"KAAT","Alturas","CA",8,3,"living","N31987"
5,13,2010,"KAAT","Alturas","CA",1,5,"living","N31987"
11,21,2014,"KAAT","Alturas","CA",4,5,"living","N31987"
3,6,2013,"KAAT","Alturas","CA",2,5,"living","N31987"
5,24,2007,"KAAT","Alturas","CA",3,1,"living","N31987"
1,2,2008,"KAAT","Alturas","CA",3,4,"living","N31987"
4,26,2012,"KAAT","Alturas","CA",2,1,"living","N31987"
4,28,2008,"KAAT","Alturas","CA",1,4,"living","N31987"
7,15,2012,"KAAT","Alturas","CA",9,2,"living","N31987"
12,14,2013,"KAAT","Alturas","CA",4,5,"living","N31987"
7,10,2014,"KAAT","Alturas","CA",9,5,"living","N31987"
12,2,2012,"KBNO","Burns","OR",2,1,"traveling","N31987"
9,25,2015,"KBNO","Burns","OR",6,1,"traveling","N31987"
11,12,2012,"KNPA","Pensacola NAS","FL",7,5,"traveling","N31987"
6,30,2010,"KGUY","Guyman","OK",9,2,"living","J67875"
8,28,2009,"KGUY","Guyman","OK",9,3,"living","J67875"
7,12,2008,"KGUY","Guyman","OK",1,1,"living","J67875"
3,29,2011,"KGUY","Guyman","OK",2,3,"living","J67875"
12,2,2013,"KGUY","Guyman","OK",3,2,"living","J67875"
12,17,2011,"KGUY","Guyman","OK",4,4,"living","J67875"
5,3,2007,"KGUY","Guyman","OK",5,5,"living","J67875"
9,10,2015,"KGUY","Guyman","OK",1,1,"living","J67875"
11,24,2012,"KGUY","Guyman","OK",6,4,"living","J67875"
8,6,2014,"KGUY","Guyman","OK",8,3,"living","J67875"
12,18,2015,"KGUY","Guyman","OK",4,5,"living","J67875"
12,26,2007,"KGUY","Guyman","OK",2,5,"living","J67875"
6,14,2012,"KGUY","Guyman","OK",1,3,"living","J67875"
1,23,2009,"KGUY","Guyman","OK",1,2,"living","J67875"
10,8,2014,"KGUY","Guyman","OK",8,5,"living","J67875"
12,21,2014,"KGUY","Guyman","OK",4,4,"living","J67875"
6,13,2014,"KGUY","Guyman","OK",7,5,"living","J67875"
3,3,2009,"KRAL","Riverside","CA",8,1,"traveling","J67875"
1,17,2015,"KEBS","Webster City","IA",2,1,"traveling","J67875"
9,19,2007,"KPSC","Pasco","WA",9,1,"traveling","J67875"
3,20,2013,"KPTV","Porterville","CA",9,4,"living","H49140"
4,30,2009,"KPTV","Porterville","CA",8,1,"living","H49140"
9,21,2014,"KPTV","Porterville","CA",8,2,"living","H49140"
7,8,2015,"KPTV","Porterville","CA",9,3,"living","H49140"
6,15,2015,"KPTV","Porterville","CA",6,5,"living","H49140"
12,26,2012,"KPTV","Porterville","CA",5,3,"living","H49140"
8,26,2012,"KPTV","Porterville","CA",9,5,"living","H49140"
12,29,2010,"KPTV","Porterville","CA",2,3,"living","H49140"
5,4,2014,"KPTV","Porterville","CA",8,3,"living","H49140"
8,25,2006,"KCDS","Childress","TX",1,1,"traveling","H49140"
1,31,2013,"KHFD","Hartford Brainard","CT",1,4,"living","Z08195"
8,28,2011,"KHFD","Hartford Brainard","CT",7,3,"living","Z08195"
4,17,2011,"KHFD","Hartford Brainard","CT",1,3,"living","Z08195"
10,5,2010,"KHFD","Hartford Brainard","CT",5,2,"living","Z08195"
9,9,2009,"KHFD","Hartford Brainard","CT",9,1,"living","Z08195"
8,2,2015,"KHFD","Hartford Brainard","CT",10,5,"living","Z08195"
6,24,2014,"KHFD","Hartford Brainard","CT",9,3,"living","Z08195"
5,23,2006,"KHFD","Hartford Brainard","CT",3,5,"living","Z08195"
6,15,2015,"KHFD","Hartford Brainard","CT",5,2,"living","Z08195"
4,2,2013,"KHFD","Hartford Brainard","CT",3,4,"living","Z08195"
1,24,2009,"KHFD","Hartford Brainard","CT",3,5,"living","Z08195"
12,22,2009,"KHFD","Hartford Brainard","CT",3,4,"living","Z08195"
5,29,2010,"KHFD","Hartford Brainard","CT",10,3,"living","Z08195"
4,17,2013,"KHFD","Hartford Brainard","CT",8,4,"living","Z08195"
12,19,2012,"KHFD","Hartford Brainard","CT",3,4,"living","Z08195"
3,16,2008,"KBLI","Bellingham","WA",4,5,"traveling","Z08195"
12,26,2012,"KSRQ","Sarasota","FL",7,2,"living","J71667"
12,11,2009,"KSRQ","Sarasota","FL",1,2,"living","J71667"
11,7,2013,"KSRQ","Sarasota","FL",10,2,"living","J71667"
10,12,2011,"KSRQ","Sarasota","FL",10,3,"living","J71667"
8,1,2011,"KSRQ","Sarasota","FL",10,4,"living","J71667"
7,9,2007,"KSRQ","Sarasota","FL",10,3,"living","J71667"
6,17,2012,"KSRQ","Sarasota","FL",9,2,"living","J71667"
11,22,2009,"KSRQ","Sarasota","FL",7,2,"living","J71667"
4,8,2009,"KSRQ","Sarasota","FL",3,5,"living","J71667"
7,11,2008,"KSRQ","Sarasota","FL",10,4,"living","J71667"
6,22,2011,"KSRQ","Sarasota","FL",10,3,"living","J71667"
5,28,2011,"KSRQ","Sarasota","FL",10,3,"living","J71667"
2,26,2009,"KSRQ","Sarasota","FL",9,4,"living","J71667"
12,9,2008,"KVNY","Van Nuys","CA",1,5,"traveling","J71667"
4,18,2013,"KANW","Ainsworth","NE",2,5,"traveling","J71667"
3,3,2006,"KMCN","Macon","GA",9,5,"traveling","J71667"
8,19,2012,"KHRI","Hermiston","OR",6,1,"living","Z57904"
3,21,2008,"KHRI","Hermiston","OR",1,3,"living","Z57904"
12,20,2014,"KHRI","Hermiston","OR",2,1,"living","Z57904"
12,15,2006,"KHRI","Hermiston","OR",1,1,"living","Z57904"
8,4,2009,"KHRI","Hermiston","OR",6,4,"living","Z57904"
9,16,2011,"KHRI","Hermiston","OR",9,5,"living","Z57904"
9,15,2011,"KHRI","Hermiston","OR",1,3,"living","Z57904"
11,20,2008,"KHRI","Hermiston","OR",2,2,"living","Z57904"
5,5,2009,"KHRI","Hermiston","OR",7,1,"living","Z57904"
5,26,2011,"KHRI","Hermiston","OR",1,3,"living","Z57904"
7,30,2013,"KHRI","Hermiston","OR",6,1,"living","Z57904"
3,10,2010,"KHRI","Hermiston","OR",3,1,"living","Z57904"
5,3,2006,"KHRI","Hermiston","OR",3,1,"living","Z57904"
11,11,2015,"KHRI","Hermiston","OR",1,5,"living","Z57904"
2,28,2011,"KHRI","Hermiston","OR",1,5,"living","Z57904"
12,22,2007,"KCDJ","Chillicothe","MO",2,5,"traveling","Z57904"
6,29,2007,"KEUG","Eugene","OR",5,4,"living","R17190"
8,7,2011,"KEUG","Eugene","OR",8,4,"living","R17190"
4,29,2006,"KEUG","Eugene","OR",5,3,"living","R17190"
2,24,2006,"KEUG","Eugene","OR",4,5,"living","R17190"
4,27,2007,"KEUG","Eugene","OR",8,2,"living","R17190"
1,27,2006,"KEUG","Eugene","OR",2,1,"living","R17190"
11,1,2006,"KEUG","Eugene","OR",4,2,"living","R17190"
12,11,2010,"KEUG","Eugene","OR",5,5,"living","R17190"
12,4,2006,"KEWN","New Bern","NC",5,1,"traveling","R17190"
6,4,2014,"KPNS","Pensacola","FL",10,5,"traveling","R17190"
6,4,2013,"KEWN","New Bern","NC",10,1,"traveling","R17190"
6,3,2009,"KBFI","Seattle Boeing","WA",8,4,"living","A69427"
6,5,2009,"KBFI","Seattle Boeing","WA",5,2,"living","A69427"
5,8,2014,"KBFI","Seattle Boeing","WA",5,2,"living","A69427"
7,27,2008,"KBFI","Seattle Boeing","WA",8,1,"living","A69427"
6,2,2013,"KBFI","Seattle Boeing","WA",8,3,"living","A69427"
5,20,2006,"KBFI","Seattle Boeing","WA",8,4,"living","A69427"
6,2,2011,"KBFI","Seattle Boeing","WA",5,5,"living","A69427"
12,8,2015,"KBFI","Seattle Boeing","WA",5,1,"living","A69427"
6,20,2015,"KBFI","Seattle Boeing","WA",8,5,"living","A69427"
7,23,2011,"KBFI","Seattle Boeing","WA",8,3,"living","A69427"
3,15,2006,"KBFI","Seattle Boeing","WA",5,2,"living","A69427"
10,18,2012,"KBFI","Seattle Boeing","WA",8,1,"living","A69427"
2,27,2006,"KBFI","Seattle Boeing","WA",5,1,"living","A69427"
9,23,2015,"KSKF","Kelly AFB","TX",8,1,"traveling","A69427"
6,12,2011,"KPNC","Ponca City","OK",7,5,"traveling","A69427"
3,18,2014,"KSKF","Kelly AFB","TX",9,1,"traveling","A69427"
6,5,2014,"PASN","Saint Paul Island","AK",6,3,"living","K71889"
8,21,2012,"PASN","Saint Paul Island","AK",5,4,"living","K71889"
8,31,2013,"PASN","Saint Paul Island","AK",6,4,"living","K71889"
9,29,2011,"PASN","Saint Paul Island","AK",6,1,"living","K71889"
9,28,2012,"PASN","Saint Paul Island","AK",6,5,"living","K71889"
1,15,2014,"PASN","Saint Paul Island","AK",6,4,"living","K71889"
11,9,2008,"PASN","Saint Paul Island","AK",6,1,"living","K71889"
5,1,2007,"PASN","Saint Paul Island","AK",6,5,"living","K71889"
7,15,2014,"PASN","Saint Paul Island","AK",6,4,"living","K71889"
8,12,2014,"PASN","Saint Paul Island","AK",6,4,"living","K71889"
4,8,2008,"PASN","Saint Paul Island","AK",6,3,"living","K71889"
6,5,2008,"PASN","Saint Paul Island","AK",1,5,"living","K71889"
